name,director,genre_1,genre_2,actor,release_date,average_rating,reviewer_name,review_rating,review_text,poster_url,game_date
The Lion King,Roger Allers,Animation,Family,Matthew Broderick,1994,4.2,Ralph,5.0,I like the part when Timon said the bug tasted like chicken. Haha how would he know? The rest of the movie was pretty good too.,https://a.ltrbxd.com/resized/sm/upload/lz/96/yu/mf/ztuEReeV6ofpU1HxUV9AsR6aLoe-0-230-0-345-crop.jpg?v=47499379fa,2024-11-26
Star Wars: Episode III – Revenge of the Sith,George Lucas,Science Fiction,Adventure,Hayden Christensen,2005,3.9,ciara,4.0,noooo anakin don’t turn to the dark side you’re so sexy aha,https://a.ltrbxd.com/resized/film-poster/5/0/7/0/9/50709-star-wars-episode-iii-revenge-of-the-sith-0-230-0-345-crop.jpg?v=cdb8caab10,2024-11-27
Se7en,David Fincher,Crime,Mystery,Morgan Freeman,1995,4.3,Wes,4.5,"my mom said that this is the scariest film shes ever seen and she saw it while she was pregnant with me, and im 100% convinced she could have gone into stress-induced labor during the opening credits sequence so...thanks david fincher for coming for my life before i was even born",https://a.ltrbxd.com/resized/film-poster/5/1/3/4/5/51345-se7en-0-230-0-345-crop.jpg?v=76a14ef6b4,2023-11-28
The Incredibles,Brad Bird,Animation,Family,Craig T. Nelson,2004,4.1,sree,4.5,14 years later i'm still the kid on the tricycle,https://a.ltrbxd.com/resized/film-poster/4/6/8/0/6/46806-the-incredibles-0-230-0-345-crop.jpg?v=dce597a185,2024-11-29
Spider-Man: Homecoming,Jon Watts,Action,Drama,Tom Holland,2017,3.5,˗ˏˋ suspirliam ˊˎ˗,4.0,"so, you got detention ‼️🤭 you screwed up 👎 you know what you did was wrong 😔 the question is, how are you going to make things right? 🤔🤔🤔 maybe you were trying to be cool 🤙 take it from a guy who's been frozen for 65 years ☃️❄️ the only way to really be cool is to follow the rules 🤓 we all know what's right ✅ we all know what's wrong ❌ next time those turkeys 🦃 try to convince you to do something that you know is wrong, just think to yourself, ""what would captain america do?"" 🇺🇸🤠✌️",https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-230-0-345-crop.jpg?v=61e8c57229,2024-11-30
Puss in Boots: The Last Wish,Joel Crawford,Animation,Family,Antonio Banderas,2022,4.1,Salty,5.0,Everyone gangsta until The Big Bad Wolf starts whistling,https://a.ltrbxd.com/resized/film-poster/2/4/2/2/8/5/242285-puss-in-boots-the-last-wish-0-230-0-345-crop.jpg?v=9e9109c5cd,2024-12-01
Pulp Fiction,Quentin Tarantino,Crime,Thriller,John Travolta,1994,4.3,kas17,3.0,a good movie but god imagine my fucking disappointment when i found out the movie wasn't all about mia wallace nobody cares about you bruce willis,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-230-0-345-crop.jpg?v=dee19a8077,2024-12-02
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,Karsten,4.0,easily one of the top 5 movies about taxes,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-12-03
Killers of the Flower Moon,Martin Scorsese,History,Crime,Leonardo DiCaprio,2023,4.1,Ayo Edebiri,0.0,"in a movie that contains so much greed and monstrosity, I left with so many thoughts and feelings on endurance, compassion, care and love. 
we are all so lucky to be alive at the same time as Martin Scorsese…..
Can’t even do a joke review for this lol toooooooo moved !!!!!!",https://a.ltrbxd.com/resized/film-poster/3/9/8/0/0/9/398009-killers-of-the-flower-moon-0-230-0-345-crop.jpg?v=49b577149d,2024-12-04
Spirited Away,Hayao Miyazaki,Family,Fantasy,Rumi Hiiragi,2001,4.5,🌻 lindsay 🌻,4.5,I got lost in a department store when I was 5 and it felt a lot like this,https://a.ltrbxd.com/resized/film-poster/5/1/9/2/1/51921-spirited-away-0-230-0-345-crop.jpg?v=a3ad463c55,2024-12-05
Finding Nemo,Andrew Stanton,Animation,Family,Albert Brooks,2003,4.0,gal pacino,4.5,"i miss when pixar movies were 75% singular adventure, 25% sentimental message instead of the other way around",https://a.ltrbxd.com/resized/film-poster/2/7/0/5/2705-finding-nemo-0-230-0-345-crop.jpg?v=b329bc5740,2024-12-06
The Social Network,David Fincher,Drama,,Jesse Eisenberg,2010,3.9,Lucy,5.0,"rooney mara absentmindedly adding ""good luck with your... video game"" after verbally ripping his ass to shreds in front of an entire restaurant is EASILY one of the best lines of dialogue in the last decade of cinema",https://a.ltrbxd.com/resized/sm/upload/nw/cm/pa/ai/sGQv3ZMZBDBnl3z42Q0mEQ5uiDe-0-230-0-345-crop.jpg?v=54ee59f7cd,2024-12-07
A Quiet Place,John Krasinski,Drama,Science Fiction,Emily Blunt,2018,3.6,Eli Hayes,4.5,"A film made the way in which cinema is meant to be seen: so that the asshole sitting next to you, scarfing down popcorn like a rabid squirrel, actually feels like an asshole, in addition to merely being one.",https://a.ltrbxd.com/resized/film-poster/3/7/9/6/8/7/379687-a-quiet-place-0-230-0-345-crop.jpg?v=895e756ae7,2024-12-08
(500) Days of Summer,Marc Webb,Romance,Comedy,Joseph Gordon-Levitt,2009,3.7,Frandi Peralta,5.0,"The expectations vs. reality scene is one of the most depressing scenes I've ever seen. I always create expectations in my head, but I always end up heartbroken and angry when the reality is different. The first time I watch this film, the expectations vs reality scene made me so sad, cause I know how that feels like.",https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-230-0-345-crop.jpg?v=05995ae0b3,2024-12-09
Don't Worry Darling,Olivia Wilde,Mystery,Thriller,Florence Pugh,2022,3.0,Alle,4.0,Movie about the dangers of letting men have and listen to podcasts,https://a.ltrbxd.com/resized/film-poster/5/4/6/3/4/7/546347-don-t-worry-darling-0-230-0-345-crop.jpg?v=f458525152,2024-12-10
Coco,Lee Unkrich,Adventure,Animation,Anthony Gonzalez,2017,4.1,Matt Singer,4.0,"A story about death, murder, loss, grief, aging, dementia, living skeletons, and deadbeat dads.
Y’know, a kids movie.",https://a.ltrbxd.com/resized/sm/upload/3p/mh/wq/v9/6Ryitt95xrO8KXuqRGm1fUuNwqF-0-230-0-345-crop.jpg?v=2a90bd6512,2024-12-11
Dunkirk,Christopher Nolan,Action,Drama,Fionn Whitehead,2017,3.8,kyle,3.0,"tom hardy: *mumbles*
fionn whitehead: *mumbles*
harry styles: *mumbles*
barry keoghan: *mumb-*
cillian murphy: *mumbles cowardly*
kenneth branagh: *mumbles slightly less*
mark rylance: *mumbles with an oscar*
hans zimmer: TICK TOCK MOTHERFUCKER",https://a.ltrbxd.com/resized/sm/upload/md/nb/pu/3i/bOXBV303Fgkzn2K4FeKDc0O31q4-0-230-0-345-crop.jpg?v=7307b1ff5b,2024-12-12
Barbie,Greta Gerwig,Comedy,Adventure,Margot Robbie,2023,3.8,aksel,5.0,can someone please check on Allan im afraid he’s gonna kill himself,https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-230-0-345-crop.jpg?v=1b83dc7a71,2024-12-13
Alien,Ridley Scott,Horror,Science Fiction,Tom Skerritt,1979,4.3,demi adejuyigbe,4.5,"if you are going into space i think that you should leave your cat at home, he does not need the stress",https://a.ltrbxd.com/resized/sm/upload/8v/f1/qw/aa/bg7K6VtUG7Ew70gQj6SSroD5d4R-0-230-0-345-crop.jpg?v=a932f9e98e,2024-12-14
Little Women,Greta Gerwig,Romance,History,Saoirse Ronan,2019,4.2,sree,5.0,"laurie: we look like a couple
jo: a couple of besties <3",https://a.ltrbxd.com/resized/sm/upload/r4/np/q5/te/mSmiB8XjUnR1GSIljuCPGsk0cwX-0-230-0-345-crop.jpg?v=b3f603929c,2024-12-15
Hereditary,Ari Aster,Thriller,Horror,Toni Collette,2018,4.0,Mari,4.5,my friend's mom: none of this would have happened if the son hadn't smoked weed,https://a.ltrbxd.com/resized/film-poster/4/2/4/3/4/8/424348-hereditary-0-230-0-345-crop.jpg?v=470e48b681,2024-12-16
The Wolf of Wall Street,Martin Scorsese,Comedy,Drama,Leonardo DiCaprio,2013,4.0,Lucy,4.5,can you believe that leo won his first oscar for grunting when THIS performance exists,https://a.ltrbxd.com/resized/film-poster/8/6/1/1/4/86114-the-wolf-of-wall-street-0-230-0-345-crop.jpg?v=9fd1891260,2024-12-17
Spider-Man: Homecoming,Jon Watts,Action,Drama,Tom Holland,2017,3.5,Sarah,4.0,"the mcu is like the man in my life who I always tell my girlfriends ""oh I'm over his ass!"" but then he hits me with a ""you up?"" text and I respond literally seconds later.",https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-230-0-345-crop.jpg?v=61e8c57229,2024-12-18
Clueless,Amy Heckerling,Drama,Comedy,Alicia Silverstone,1995,3.7,Jay,4.0,"young cinephilles 🤝 40 year old mothers
paul rudd",https://a.ltrbxd.com/resized/sm/upload/fn/rr/3z/h7/i8gEHh2sszB6YWLC0jl559sxAeN-0-230-0-345-crop.jpg?v=593192fedf,2024-12-19
The Breakfast Club,John Hughes,Drama,Comedy,Emilio Estevez,1985,3.8,👽hayley👽,4.0,im always SO bitter about the makeover claire gives allison she looked so amazing with the goth look <///3,https://a.ltrbxd.com/resized/film-poster/5/0/5/1/8/50518-the-breakfast-club-0-230-0-345-crop.jpg?v=cce37bedf1,2024-12-20
Avatar: The Way of Water,James Cameron,Action,Adventure,Sam Worthington,2022,3.6,the film drunk,4.0,Leaving Pandora and coming back into our shit reality after the movie ends top 10 saddest moments,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-230-0-345-crop.jpg?v=cc3269e69d,2024-12-21
A Quiet Place,John Krasinski,Drama,Science Fiction,Emily Blunt,2018,3.6,David Sims,3.0,MAYBE GO LIVE BY THE HOOVER DAM OR SOMETHING JEEZ,https://a.ltrbxd.com/resized/film-poster/3/7/9/6/8/7/379687-a-quiet-place-0-230-0-345-crop.jpg?v=895e756ae7,2024-12-22
Challengers,Luca Guadagnino,Drama,Romance,Zendaya,2024,4.0,patrick,4.5,may thy racket chip and shatter,https://a.ltrbxd.com/resized/film-poster/8/4/2/3/0/1/842301-challengers-0-230-0-345-crop.jpg?v=a7cd63cbef,2024-12-23
Interstellar,Christopher Nolan,Science Fiction,Drama,Matthew McConaughey,2014,4.4,<3,5.0,tell me you wouldn't cry too if your son grows up to be casey affleck,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/1/117621-interstellar-0-230-0-345-crop.jpg?v=7ad89e6666,2024-12-24
Priscilla,Sofia Coppola,Drama,Romance,Cailee Spaeny,2023,3.6,ram<3,5.0,"she's everything, he's just elvis",https://a.ltrbxd.com/resized/film-poster/9/1/9/1/2/1/919121-priscilla-0-230-0-345-crop.jpg?v=d9ff2d4c5e,2024-12-25
Joker,Todd Phillips,Crime,Drama,Joaquin Phoenix,2019,3.8,Joao,1.0,if you’ve never swam in the ocean then of course a pool seems deep.,https://a.ltrbxd.com/resized/film-poster/4/0/6/7/7/5/406775-joker-0-230-0-345-crop.jpg?v=e4ea7f98cc,2024-12-26
Jaws,Steven Spielberg,Adventure,Thriller,Roy Scheider,1975,4.0,James (Schaffrillas),3.5,Reminds me of Shark Tale (2004),https://a.ltrbxd.com/resized/film-poster/5/1/5/4/2/51542-jaws-0-230-0-345-crop.jpg?v=03299455f6,2024-12-27
Baby Driver,Edgar Wright,Crime,Action,Ansel Elgort,2017,3.7,olivia 🧸🍊,5.0,The fault in our cars,https://a.ltrbxd.com/resized/film-poster/2/6/8/9/5/0/268950-baby-driver-0-230-0-345-crop.jpg?v=61304ddfc8,2024-12-28
Poor Things,Yorgos Lanthimos,Romance,Science Fiction,Emma Stone,2023,4.0,Lara,4.5,barbie (2023) but for mentally ill people,https://a.ltrbxd.com/resized/film-poster/7/1/0/3/5/2/710352-poor-things-0-230-0-345-crop.jpg?v=a0f2ee9a0e,2024-12-29
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,ian,4.5,rocks just made me cry,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-12-30
Superbad,Greg Mottola,Comedy,,Jonah Hill,2007,3.9,andrea🌹,3.5,wish i could say i never had a crush on michael cera,https://a.ltrbxd.com/resized/film-poster/4/7/7/7/6/47776-superbad-0-230-0-345-crop.jpg?v=b43686efcb,2024-12-31
The Hunger Games: The Ballad of Songbirds & Snakes,Francis Lawrence,Science Fiction,Drama,Tom Blyth,2023,3.6,gracky,4.0,caught myself getting upset when the bad guy i know is bad turns out to be bad,https://a.ltrbxd.com/resized/film-poster/6/1/9/5/1/0/619510-the-hunger-games-the-ballad-of-songbirds-snakes-0-230-0-345-crop.jpg?v=180f24b89f,2025-01-01